head_name,fold,train_start,train_end,valid_start,valid_end,train_rows,valid_rows,train_classes
entry_bad_risk_head,1,2025-05-05,2025-07-10,2025-07-11,2025-09-15,27600,27600,not_bad_entry_risk=10716;bad_entry_risk=16884
entry_bad_risk_head,2,2025-05-05,2025-09-15,2025-09-16,2025-11-18,55200,27600,not_bad_entry_risk=21516;bad_entry_risk=33684
entry_bad_risk_head,3,2025-05-05,2025-11-18,2025-11-19,2026-01-27,82800,27600,not_bad_entry_risk=29694;bad_entry_risk=53106
entry_bad_risk_head,4,2025-05-05,2026-01-27,2026-01-28,2026-04-01,110400,28332,not_bad_entry_risk=41376;bad_entry_risk=69024
entry_bad_risk_head,5,2025-05-05,2026-04-01,2026-04-02,2026-06-04,138732,17988,not_bad_entry_risk=47994;bad_entry_risk=90738
entry_winner_preservation_head,1,2025-05-05,2025-07-10,2025-07-11,2025-09-15,27600,27600,not_winner_preserve=19368;winner_preserve=8232
entry_winner_preservation_head,2,2025-05-05,2025-09-15,2025-09-16,2025-11-18,55200,27600,not_winner_preserve=39426;winner_preserve=15774
entry_winner_preservation_head,3,2025-05-05,2025-11-18,2025-11-19,2026-01-27,82800,27600,not_winner_preserve=60978;winner_preserve=21822
entry_winner_preservation_head,4,2025-05-05,2026-01-27,2026-01-28,2026-04-01,110400,28332,not_winner_preserve=79146;winner_preserve=31254
entry_winner_preservation_head,5,2025-05-05,2026-04-01,2026-04-02,2026-06-04,138732,17988,not_winner_preserve=100944;winner_preserve=37788
entry_ready_head,1,2025-05-05,2025-07-10,2025-07-11,2025-09-15,27600,27600,not_entry_ready=19617;entry_ready=7983
entry_ready_head,2,2025-05-05,2025-09-15,2025-09-16,2025-11-18,55200,27600,not_entry_ready=39928;entry_ready=15272
entry_ready_head,3,2025-05-05,2025-11-18,2025-11-19,2026-01-27,82800,27600,not_entry_ready=61877;entry_ready=20923
entry_ready_head,4,2025-05-05,2026-01-27,2026-01-28,2026-04-01,110400,28332,not_entry_ready=80366;entry_ready=30034
entry_ready_head,5,2025-05-05,2026-04-01,2026-04-02,2026-06-04,138732,17988,not_entry_ready=102610;entry_ready=36122
management_exit_risk_head,1,2025-05-05,2025-06-30,2025-07-01,2025-08-25,23201,23185,not_exit_risk=8772;exit_risk=14429
management_exit_risk_head,2,2025-05-05,2025-08-25,2025-08-26,2025-10-20,46386,23171,not_exit_risk=16981;exit_risk=29405
management_exit_risk_head,3,2025-05-05,2025-10-20,2025-10-21,2025-12-15,69557,23079,not_exit_risk=24924;exit_risk=44633
management_exit_risk_head,4,2025-05-05,2025-12-15,2025-12-16,2026-02-11,92636,23372,not_exit_risk=33259;exit_risk=59377
management_exit_risk_head,5,2025-05-05,2026-02-11,2026-02-12,2026-04-09,116008,24565,not_exit_risk=42445;exit_risk=73563
management_runner_preservation_head,1,2025-05-05,2025-06-30,2025-07-01,2025-08-25,23201,23185,not_runner_preserve=16295;runner_preserve=6906
management_runner_preservation_head,2,2025-05-05,2025-08-25,2025-08-26,2025-10-20,46386,23171,not_runner_preserve=33968;runner_preserve=12418
management_runner_preservation_head,3,2025-05-05,2025-10-20,2025-10-21,2025-12-15,69557,23079,not_runner_preserve=51719;runner_preserve=17838
management_runner_preservation_head,4,2025-05-05,2025-12-15,2025-12-16,2026-02-11,92636,23372,not_runner_preserve=68449;runner_preserve=24187
management_runner_preservation_head,5,2025-05-05,2026-02-11,2026-02-12,2026-04-09,116008,24565,not_runner_preserve=84075;runner_preserve=31933
