month,score,selected_rows,optimal_precision_pct,bad_trade_pct,watch_pct,avg_best_entry_ret20_pct,avg_deployable_ret40_pct
2025-07,baseline_492_kumo_rank_score,180,12.222,78.889,8.889,-0.2888,4.2594
2025-08,baseline_492_kumo_rank_score,210,20.0,61.429,18.571,2.0877,6.1147
2025-09,baseline_492_kumo_rank_score,210,35.714,52.381,11.905,3.7636,8.2839
2025-10,baseline_492_kumo_rank_score,230,8.696,82.174,9.13,-5.1912,2.5431
2025-11,baseline_492_kumo_rank_score,190,27.368,68.947,3.684,-0.2095,5.0158
2025-12,baseline_492_kumo_rank_score,220,30.909,65.909,3.182,9.1097,9.7322
2026-01,baseline_492_kumo_rank_score,200,31.5,63.5,5.0,0.1369,5.7927
2026-02,baseline_492_kumo_rank_score,190,14.737,85.263,0.0,-3.4281,3.853
2026-03,baseline_492_kumo_rank_score,220,15.455,84.545,0.0,1.5059,3.9407
2026-04,baseline_492_kumo_rank_score,210,12.381,14.762,72.857,17.305,22.7225
2026-05,baseline_492_kumo_rank_score,60,0.0,0.0,100.0,,
2025-07,baseline_492_rule_score,180,12.778,78.889,8.333,-0.1284,4.3112
2025-08,baseline_492_rule_score,210,22.857,61.905,15.238,1.8639,4.3306
2025-09,baseline_492_rule_score,210,32.857,56.19,10.952,2.8715,6.7355
2025-10,baseline_492_rule_score,230,19.565,72.174,8.261,-0.8906,3.5346
2025-11,baseline_492_rule_score,190,28.947,65.263,5.789,-0.2738,3.9627
2025-12,baseline_492_rule_score,220,36.818,57.727,5.455,3.3171,7.6093
2026-01,baseline_492_rule_score,200,44.5,52.0,3.5,3.0621,6.5332
2026-02,baseline_492_rule_score,190,18.421,81.579,0.0,-4.3234,2.8356
2026-03,baseline_492_rule_score,220,10.909,89.091,0.0,0.5891,2.6646
2026-04,baseline_492_rule_score,210,10.476,16.667,72.857,10.3436,16.157
2026-05,baseline_492_rule_score,60,0.0,0.0,100.0,,
2025-07,prior_467_combined_score,180,20.556,78.333,1.111,-0.7556,7.0112
2025-08,prior_467_combined_score,210,29.048,69.048,1.905,15.1166,18.5885
2025-09,prior_467_combined_score,210,29.048,70.476,0.476,16.8275,13.3322
2025-10,prior_467_combined_score,230,7.826,90.435,1.739,-13.6708,5.5198
2025-11,prior_467_combined_score,190,28.947,69.474,1.579,4.2797,13.5152
2025-12,prior_467_combined_score,220,27.727,70.909,1.364,16.559,9.7882
2026-01,prior_467_combined_score,200,22.0,78.0,0.0,-1.7925,7.9257
2026-02,prior_467_combined_score,190,17.368,82.105,0.526,-2.69,5.4982
2026-03,prior_467_combined_score,220,19.545,80.455,0.0,9.7898,9.9377
2026-04,prior_467_combined_score,60,46.667,53.333,0.0,28.4031,52.0691
2025-07,model_492_combined_score,180,13.889,68.889,17.222,0.7446,4.9217
2025-08,model_492_combined_score,210,23.333,47.619,29.048,1.8951,5.2851
2025-09,model_492_combined_score,210,23.81,38.095,38.095,1.5753,3.7602
2025-10,model_492_combined_score,230,6.522,66.957,26.522,-2.7412,1.6647
2025-11,model_492_combined_score,190,27.895,50.526,21.579,1.4014,5.0441
2025-12,model_492_combined_score,220,21.818,48.636,29.545,2.7691,6.6064
2026-01,model_492_combined_score,200,37.0,39.5,23.5,2.1697,4.6762
2026-02,model_492_combined_score,190,17.368,74.737,7.895,-3.5574,1.7489
2026-03,model_492_combined_score,220,21.364,78.182,0.455,-1.5637,4.1232
2026-04,model_492_combined_score,210,8.095,20.0,71.905,7.0777,15.9378
2026-05,model_492_combined_score,60,0.0,0.0,100.0,,
