source_flag,entry_assumption,candidate_rows,triggered_rows,trigger_rate_pct,available_20d_rows,avg_ret_20d_close_pct,candidate_weighted_avg_ret_20d_pct,median_ret_20d_close_pct,runner_pct,normal_winner_pct,bad_trade_pct,target4_before_stop2_pct,stop2_before_target4_pct,avg_mfe_20d_pct,avg_mae_20d_pct
george_scanner_or_watchlist,first_hour_confirm,712,362,50.843,360,1.2287,0.6212,-0.6334,23.056,50.0,43.889,33.333,55.556,10.1243,-7.4397
george_scanner_or_watchlist,next_open,712,707,99.298,704,0.7153,0.7072,-0.9664,22.585,50.142,47.869,30.54,59.801,9.8739,-7.7983
george_scanner_or_watchlist,prior_session_high_breakout,712,453,63.624,450,0.7147,0.4517,-1.0004,23.778,52.889,46.0,30.889,59.111,10.545,-7.9044
george_scanner_or_watchlist,pullback_1pct_reclaim,712,149,20.927,149,-0.2619,-0.0548,-1.3337,30.872,59.06,51.678,30.872,67.114,11.5089,-10.3465
kumo_scanner,pullback_1pct_reclaim,25778,4631,17.965,4621,4.5381,0.8135,1.9431,37.827,64.899,41.636,32.98,62.281,15.8999,-9.9117
kumo_scanner,next_open,25778,25766,99.953,25683,2.7178,2.7078,1.0613,21.333,50.948,37.64,31.332,58.876,9.6923,-6.4933
kumo_scanner,prior_session_high_breakout,25778,14739,57.177,14687,2.5541,1.4552,0.8735,20.801,49.751,38.197,30.646,59.59,9.4659,-6.5255
kumo_scanner,first_hour_confirm,25778,13048,50.617,13007,2.4524,1.2374,0.9484,20.304,50.604,38.441,32.467,58.876,9.2761,-6.3581
kumo_top100,pullback_1pct_reclaim,25500,4578,17.953,4568,4.6005,0.8241,1.9815,37.938,64.996,41.506,32.968,62.259,15.9541,-9.9413
kumo_top100,next_open,25500,25492,99.969,25410,2.753,2.7432,1.0872,21.381,51.015,37.54,31.334,58.949,9.705,-6.4985
kumo_top100,prior_session_high_breakout,25500,14554,57.075,14503,2.5874,1.4716,0.899,20.83,49.79,38.137,30.635,59.698,9.4713,-6.5357
kumo_top100,first_hour_confirm,25500,12900,50.588,12860,2.487,1.2542,1.0056,20.381,50.723,38.383,32.496,58.981,9.2909,-6.3639
