bucket,rows,avg_ret_20d_close_pct,median_ret_20d_close_pct,good_pct,runner_pct,bad_trade_pct
rank_1_10,2547,3.5119,1.2216,44.994,23.125,38.477
rank_11_20,2543,3.4755,1.03,46.205,25.285,39.088
rank_21_50,7623,2.6135,0.9532,44.012,21.343,38.226
rank_51_100,12697,2.5397,1.1456,43.601,20.273,36.631
rank_101_250,38104,1.9403,1.0425,42.41,18.919,37.366
rank_251_500,63532,1.4962,0.8734,41.441,18.759,38.566
gap_lt_minus5,2580,0.202,-0.7877,44.806,43.953,50.116
gap_minus5_to_minus2,10824,5.0452,1.5624,51.515,39.339,43.237
gap_minus2_to_0,132262,1.9685,0.8558,42.546,17.23,38.576
gap_0_to_2,157585,1.7548,0.7918,41.524,17.026,37.769
gap_2_to_5,13233,3.7942,1.5049,50.276,39.054,43.165
gap_5_to_8,2155,1.3603,-0.5141,44.64,41.253,50.812
gap_gt_8,1203,-1.3243,-2.2535,41.978,44.555,53.367
