source_flag,opportunities,pct_of_panel,date_count,symbol_count
kumo_scanner,310389,99.061,275,3509
kumo_top_n,25500,8.138,255,1409
kumo_full_universe,309818,98.879,255,3485
kumo_targeted_only,571,0.182,20,308
george_scanner_ocr,501,0.16,71,291
george_scanner_manual,49,0.016,5,45
george_scanner_positive,511,0.163,71,294
george_watchlist,201,0.064,6,164
george_video_mention,5629,1.796,200,1151
george_scanner_or_watchlist,712,0.227,75,400
kumo_and_george_any,3334,1.064,185,614
kumo_and_george_scanner_positive,322,0.103,59,205
george_any_only_no_kumo,2943,0.939,204,1039
video_only_context,5565,1.776,200,1133
