target,feature,coef_mean,coef_abs_mean,coef_std
runner,kumo_close_log,-0.239729,0.239729,0.031305
runner,gap_abs_rank_in_day,0.221447,0.221447,0.016612
runner,gap_abs_pctile_in_day,-0.220185,0.220185,0.016652
runner,kumo_volume_log,0.179063,0.179063,0.021384
runner,gap_between_minus2_5,-0.127758,0.127758,0.011754
runner,kumo_gap_negative_abs,0.085718,0.085718,0.013189
runner,rank_le_20,-0.061117,0.061117,0.027785
runner,gap_lt_minus5,0.042842,0.042842,0.013974
runner,kumo_gap_abs,0.042555,0.042555,0.029621
runner,rank_le_10,-0.038249,0.038249,0.011489
runner,relvol_pctile_in_day,-0.035406,0.035406,0.007337
runner,relvol_rank_in_day,0.034907,0.034907,0.007209
runner,gap_rank_in_day,-0.030947,0.030947,0.009822
runner,gap_pctile_in_day,0.030641,0.030641,0.009315
runner,kumo_gap_positive,0.029463,0.029463,0.026193
runner,kumo_dollar_vol_log,-0.025975,0.025975,0.014784
runner,rank_le_50,0.005981,0.019442,0.022375
runner,gap_gt_8,0.00604,0.018294,0.022921
runner,kumo_gap_pct,0.015862,0.017577,0.023267
runner,dollar_vol_pctile_in_day,0.002823,0.015689,0.018029
runner,dollar_vol_rank_in_day,-0.003417,0.015178,0.017562
runner,rank_rank_in_day,-0.011871,0.011871,0.008656
runner,rank_pctile_in_day,0.011146,0.011146,0.008543
runner,kumo_rank_by_score,-0.010214,0.010214,0.008485
runner,kumo_rank_inverse,0.010214,0.010214,0.008485
runner,score_rank_in_day,-0.004827,0.008697,0.008158
runner,score_pctile_in_day,0.004398,0.00846,0.008121
runner,score_ge_8,0.003639,0.006957,0.006756
runner,kumo_score,0.003501,0.006662,0.006711
runner,kumo_vol_ratio_20d,-0.001518,0.003604,0.004059
runner,score_ge_7,-0.000659,0.001176,0.002027
runner,is_kumo_top_n,-0.000985,0.000985,0.00197
runner,has_sector_proxy,0.0,0.0,0.0
runner,is_kumo_scanner,0.0,0.0,0.0
trade_worthy,gap_abs_rank_in_day,0.146031,0.146031,0.008579
trade_worthy,gap_abs_pctile_in_day,-0.14501,0.14501,0.008392
trade_worthy,kumo_volume_log,0.060965,0.060965,0.010491
trade_worthy,kumo_dollar_vol_log,0.043293,0.046325,0.039691
trade_worthy,gap_lt_minus5,-0.041494,0.041494,0.009152
trade_worthy,gap_gt_8,-0.036289,0.036289,0.010379
trade_worthy,rank_le_20,-0.035473,0.035473,0.017098
trade_worthy,kumo_close_log,-0.024635,0.034356,0.032868
trade_worthy,rank_le_50,-0.023459,0.023459,0.017517
trade_worthy,rank_le_10,0.01342,0.019049,0.025914
trade_worthy,kumo_gap_abs,0.009311,0.01879,0.018721
trade_worthy,kumo_gap_positive,0.006775,0.018187,0.01853
trade_worthy,kumo_gap_negative_abs,0.017891,0.017891,0.008022
trade_worthy,kumo_gap_pct,0.00426,0.017605,0.018498
trade_worthy,gap_rank_in_day,-0.016845,0.016845,0.006227
trade_worthy,gap_pctile_in_day,0.016329,0.016329,0.006308
trade_worthy,dollar_vol_rank_in_day,-0.012733,0.015333,0.013779
trade_worthy,dollar_vol_pctile_in_day,0.012292,0.015243,0.013759
trade_worthy,relvol_pctile_in_day,-0.014053,0.014053,0.014334
trade_worthy,gap_between_minus2_5,-0.01255,0.013527,0.009888
trade_worthy,kumo_vol_ratio_20d,-0.006559,0.013249,0.012522
trade_worthy,relvol_rank_in_day,0.013153,0.013153,0.014421
trade_worthy,kumo_rank_by_score,0.007688,0.011005,0.01272
trade_worthy,kumo_rank_inverse,-0.007688,0.011005,0.01272
trade_worthy,rank_pctile_in_day,-0.009606,0.009737,0.011325
trade_worthy,rank_rank_in_day,0.009078,0.009595,0.01129
trade_worthy,score_rank_in_day,-0.004558,0.00595,0.006373
trade_worthy,score_pctile_in_day,0.004227,0.00566,0.00631
trade_worthy,score_ge_8,0.003589,0.004899,0.005025
trade_worthy,kumo_score,0.003491,0.0048,0.005157
trade_worthy,is_kumo_top_n,0.00161,0.00161,0.003219
trade_worthy,score_ge_7,-0.001132,0.001132,0.002118
trade_worthy,has_sector_proxy,0.0,0.0,0.0
trade_worthy,is_kumo_scanner,0.0,0.0,0.0
