source_bucket,trade_bucket,reason_code,rows,bucket_trade_rows,pct_of_bucket_trade
both_george_and_kumo,bad,realistic_entry_triggered,118,118,100.0
both_george_and_kumo,bad,stop_before_target4_2,104,118,88.136
both_george_and_kumo,bad,best_entry_bad_trade,79,118,66.949
both_george_and_kumo,bad,mae20_le_minus8,61,118,51.695
both_george_and_kumo,optimal,normal_winner,30,30,100.0
both_george_and_kumo,optimal,realistic_entry_triggered,30,30,100.0
both_george_and_kumo,optimal,target4_before_stop2,29,30,96.667
both_george_and_kumo,optimal,mfe20_ge_8,18,30,60.0
both_george_and_kumo,optimal,ret20_ge_4,17,30,56.667
both_george_and_kumo,optimal,runner_candidate,12,30,40.0
both_george_and_kumo,watch,no_realistic_entry_triggered,217,218,99.541
both_george_and_kumo,watch,realistic_entry_triggered,1,218,0.459
george_only,bad,realistic_entry_triggered,121,121,100.0
george_only,bad,stop_before_target4_2,104,121,85.95
george_only,bad,mae20_le_minus8,78,121,64.463
george_only,bad,best_entry_bad_trade,72,121,59.504
george_only,optimal,normal_winner,29,29,100.0
george_only,optimal,realistic_entry_triggered,29,29,100.0
george_only,optimal,target4_before_stop2,28,29,96.552
george_only,optimal,mfe20_ge_8,23,29,79.31
george_only,optimal,ret20_ge_4,19,29,65.517
george_only,optimal,runner_candidate,18,29,62.069
george_only,watch,no_realistic_entry_triggered,193,196,98.469
george_only,watch,realistic_entry_triggered,3,196,1.531
kumo_only,bad,realistic_entry_triggered,14820,14820,100.0
kumo_only,bad,stop_before_target4_2,13283,14820,89.629
kumo_only,bad,best_entry_bad_trade,8539,14820,57.618
kumo_only,bad,mae20_le_minus8,6154,14820,41.525
kumo_only,optimal,normal_winner,6005,6005,100.0
kumo_only,optimal,realistic_entry_triggered,6005,6005,100.0
kumo_only,optimal,target4_before_stop2,5825,6005,97.002
kumo_only,optimal,ret20_ge_4,3901,6005,64.963
kumo_only,optimal,mfe20_ge_8,3533,6005,58.834
kumo_only,optimal,runner_candidate,2040,6005,33.972
kumo_only,watch,no_realistic_entry_triggered,2226,3992,55.762
kumo_only,watch,realistic_entry_triggered,1766,3992,44.238
kumo_only,watch,ret20_ge_4,3,3992,0.075
kumo_with_george_video_context,bad,realistic_entry_triggered,368,368,100.0
kumo_with_george_video_context,bad,stop_before_target4_2,344,368,93.478
kumo_with_george_video_context,bad,best_entry_bad_trade,200,368,54.348
kumo_with_george_video_context,bad,mae20_le_minus8,133,368,36.141
kumo_with_george_video_context,optimal,normal_winner,174,174,100.0
kumo_with_george_video_context,optimal,realistic_entry_triggered,174,174,100.0
kumo_with_george_video_context,optimal,target4_before_stop2,172,174,98.851
kumo_with_george_video_context,optimal,ret20_ge_4,118,174,67.816
kumo_with_george_video_context,optimal,mfe20_ge_8,100,174,57.471
kumo_with_george_video_context,optimal,runner_candidate,51,174,29.31
kumo_with_george_video_context,watch,no_realistic_entry_triggered,33,53,62.264
kumo_with_george_video_context,watch,realistic_entry_triggered,20,53,37.736
