variant_id,base_module,scanner_setting,decision_rank_bucket,entries,closed_trades,open_lots,closed_pnl,open_unrealized_est,avg_mfe_pct,avg_mae_pct
giveback_no_bull_scanner_off,strategies.realized_giveback_no_bull,off,001_010,57,50,7,8625.93,-4368.16,0.058,-0.099
giveback_no_bull_scanner_off,strategies.realized_giveback_no_bull,off,011_020,41,38,3,7427.52,-1947.34,0.063,-0.062
giveback_no_bull_scanner_off,strategies.realized_giveback_no_bull,off,021_050,39,31,8,6095.78,-4458.74,0.067,-0.109
giveback_no_bull_scanner_off,strategies.realized_giveback_no_bull,off,gt_050,24,19,5,2476.70,-2989.12,0.055,-0.064
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,001_010,54,47,7,7953.42,-3684.10,0.058,-0.142
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,011_020,44,41,3,7157.53,-1633.10,0.059,-0.068
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,021_050,38,33,5,5756.25,-2401.02,0.061,-0.093
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,gt_050,26,21,5,2537.33,-2512.50,0.050,-0.062
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,001_010,53,44,9,8272.19,-5737.64,0.064,-0.116
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,011_020,36,35,1,6996.86,-619.24,0.062,-0.056
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,021_050,30,24,6,5779.44,-3447.75,0.078,-0.085
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,gt_050,24,17,7,2916.04,-4190.11,0.052,-0.079
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,001_010,56,47,9,8511.09,-4407.00,0.059,-0.094
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,011_020,31,30,1,5881.57,-513.86,0.061,-0.062
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,021_050,32,27,5,6123.07,-2316.72,0.071,-0.076
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,gt_050,23,16,7,2950.70,-3117.06,0.052,-0.083
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,001_010,55,46,9,8946.04,-5546.18,0.074,-0.111
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,011_020,37,36,1,6447.90,-592.40,0.075,-0.095
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,021_050,31,24,7,6218.11,-3797.50,0.090,-0.097
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,gt_050,16,10,6,2311.45,-3409.90,0.077,-0.120
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,001_010,49,41,8,7463.06,-3786.99,0.073,-0.090
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,011_020,30,29,1,5879.53,-502.80,0.085,-0.062
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,021_050,30,23,7,6134.04,-3039.19,0.094,-0.100
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,gt_050,16,11,5,2619.15,-2207.04,0.075,-0.105
